"","Pclass","Sex","Age","SibSp","Parch","Fare","Survived"
"1","3","male",0.452723196624027,0,"0",0.0152815806711778,0
"2","3","female",0.617565607279441,1,"0",0.0136630900600629,1
"3","2","male",0.815376500065937,0,"0",0.0189087407081228,1
"4","3","male",0.353817750230779,0,"0",0.0169080739493279,1
"5","3","female",0.287880785968614,1,"1",0.0239836027304319,0
"6","3","male",0.182381643149149,0,"0",0.0180060008291544,0
"7","3","female",0.393379928788079,0,"0",0.0148912066694617,0
"8","2","male",0.340630357378346,1,"1",0.0566042302488322,0
"9","3","female",0.235131214558882,0,"0",0.0141104586660296,1
"10","3","male",0.274693393116181,2,"0",0.0471376607072172,1
"11","3","male",0.365420768821739,0,"0",0.0154115752137493,1
"12","1","male",0.604378214427008,0,"0",0.0507486202230909,1
"13","1","female",0.301068178821047,1,"0",0.160573904434883,0
"14","2","male",0.82856389291837,1,"0",0.0507486202230909,0
"15","1","female",0.617565607279441,1,"0",0.119405647774907,0
"16","2","female",0.31425557167348,1,"0",0.0541073981338561,1
"17","2","male",0.459316893050244,0,"0",0.0241055946059682,0
"18","3","male",0.274693393116181,0,"0",0.0141022608119935,1
"19","3","female",0.353817750230779,1,"0",0.0154685698179998,0
"20","3","female",0.591190821574575,0,"0",0.0141022608119935,1
"21","1","male",0.723064750098905,1,"0",0.115941078509677,0
"22","3","male",0.116444678886984,0,"1",0.0061889894232068,1
"23","1","female",0.487307862415343,0,"0",0.061841683042856,1
"24","1","male",0.274693393116181,0,"1",0.119804219630659,1
"25","1","female",0.630753000131874,1,"3",0.512121893501288,0
"26","3","male",0.65712778583674,1,"0",0.0283021151244161,1
"27","1","female",0.287880785968614,0,"1",0.120975341635808,0
"28","3","male",0.294474482394831,0,"0",0.0141022608119935,0
"29","1","male",0.538441250164842,0,"0",0.0595320352617028,1
"30","3","male",0.308314531082981,2,"0",0.0423149802900167,0
"31","2","male",0.65712778583674,1,"0",0.0507486202230909,0
"32","2","male",0.31425557167348,2,"0",0.0614839052702832,1
"33","3","female",0.432942107345378,1,"2",0.0401597254265421,1
"34","3","female",0.211500544549499,1,"2",0.0457713517012109,0
"35","1","male",0.393379928788079,1,"0",0.112720492995519,0
"36","3","male",0.241724910985098,0,"0",0.0141104586660296,0
"37","3","female",0.320273337598666,0,"0",0.0157125535690724,1
"38","3","female",0.274693393116181,0,"0",0.0169080739493279,0
"39","3","male",0.327442964525913,0,"0",0.018542765081514,0
"40","3","male",0.381760238819921,0,"0",0.110272457630758,1
"41","3","male",0.512066464459976,0,"1",0.0261876543441209,0
"42","1","male",0.579943732592176,0,"0",0.0518221487278102,0
"43","3","male",0.538441250164842,0,"0",0.0153221795673563,0
"44","2","female",0.393379928788079,0,"0",0.0253743101115455,1
"45","1","female",0.591190821574575,1,"0",0.102578966804937,1
"46","3","male",0.327442964525913,0,"0",0.0154685698179998,0
"47","1","male",0.591190821574575,0,"0",0.0579705392548385,0
"48","3","male",0.393857669040554,0,"0",0.0151269925664983,1
"49","1","female",0.789001714361071,0,"0",0.148911481133615,0
"50","3","female",0.472504285902677,0,"2",0.0310347331364287,0
"51","1","male",0.31425557167348,1,"0",0.117112200514825,0
"52","2","male",0.353817750230779,0,"0",0.029343047399992,0
"53","2","female",0.261506000263748,2,"1",0.0448930101973497,1
"54","1","female",0.367005143083212,3,"2",0.513341812256651,1
"55","2","male",0.456399857181449,0,"0",0.0304085732376761,0
"56","3","male",0.129632071739417,4,"1",0.0568482139999047,1
"57","3","male",0.459316893050244,0,"0",0.0154115752137493,1
"58","3","male",0.327442964525913,0,"0",0.0149318055656402,0
"59","3","male",0.380507865663466,1,"0",0.0314251071381448,1
"60","1","female",0.472504285902677,0,"0",0.512121893501288,0
"61","3","male",0.221943821706449,0,"0",0.0154115752137493,0
"62","2","male",0.419754714492945,0,"0",0.0263502451158357,1
"63","3","male",0.235131214558882,0,"0",0.0151269925664983,0
"64","3","female",0.287880785968614,0,"0",0.0150781958162837,0
"65","1","male",0.169194250296716,2,"2",0.512121893501288,0
"66","2","female",0.40377982751669,0,"0",0.0409892701801888,1
"67","3","female",0.235131214558882,0,"0",0.0153791741716068,1
"68","1","male",0.617565607279441,0,"0",0.0827592883638098,0
"69","1","male",0.406567321640512,0,"0",0.0557014903698638,1
"70","1","female",0.789001714361071,1,"4",0.513341812256651,0
"71","3","female",0.31425557167348,0,"0",0.0151269925664983,0
"72","3","male",0.274693393116181,0,"0",0.0154115752137493,0
